,question,answer,non_prep_question
256,непонятный игра в молчание,У него сработал инстинкт самосохранения,Непонятная игра в молчание
257,по ваш наблюдение у нищий мужчина бывать женщина,Женщин не бывает только у закомплексованных мужчин с низкой самооценкой (например из-за маленького члена).,"По вашим наблюдениям, у нищих мужчин бывают женщины ?"
258,с женщина не уметь шутить не интересно,"Знал одну бабу с полным отсутствием чувства юмора. Проще застрелиться, чем с такой общаться.","С женщиной, не умеющей шутить не интересно?"
259,как я далёкий быть у я случиться такой ситуация её надо решить причём в близкий часы,Нет она хотела избавиться от тебя.Никакой парень не писал она сама писала. Знала что ты ответиш да. Чтоб потом тебя винит и прощаться. Женские хитрости как избавиться от парня и +не обидет его.,"Как мне дальше быть??? У меня случилась такая ситуация, её надо решить причём в ближайшие часы..."
260,я говорить парень я казаться ты фальшивый а он говорить нет я же не твой грудь,Вам обоим сколько лет?,"Я говорю парню: ""Мне кажется ты фальшивый"", а он говорит ""нет, я же не твоя грудь""."
261,вопрос с подвох есть в москва заведение где нет камера,"Я думаю туалет, но это не точно.","Вопрос с подвохом: есть в Москве заведения, где нет камер?"
262,какой необычный свидание с девушка можно устроить относительно бюджетный и не просто дешёвый отель снять,"Засовывай в багажник и в лес, природа, романтика и недорого.",Какое необычное свидание с девушкой можно устроить? Относительно бюджетно и не просто дешевый отель снять?
263,если за любовь то пить можно,"если очень хочется, то можно и против","Если за любовь, то пить можно?"
264,постоянно изменять муж как перестать,"сможешь, еще как сможешь коли ходишь налево","Постоянно изменяю мужу, как перестать?"
265,я нравиться девушка но у она есть парень,Слушай пацан) набей ему морду) сможешь?,Мне нравится девушка но у неё есть парень.
266,что мужчина иметь ввиду,"а зачем ты, верная и замужняя женщина, базаришь с чужими мужиками?)",что мужчина имеет ввиду?
267,парень прижимать с весь сила что это значит этот х метровый сильно прям прижимать что это значит,"Возможно, это воровец душ.Марьяна Оля.",Парень прижимает со всей силой что это значит Этот 2 х метровой сильно прям прижимает что это значит
268,я год рост смотреть вес кг это слишком плачевно я не шутить серьёзно,"Да, сильно !!!Но твой организм молод, сила воли и всё в твоих руках .","Мне 15 лет, рост 168 см, вес 105 кг - это слишком плачевно? (Я не шучу, серьезно)"
269,что делать с маменькин сынок,а зачем сожительствовала...,Что делать с маменькиным сынком?
270,если девушка не выносить мозг мужчина нормальный ли она,На свалку ядерных отходов,"Если девушка не выносит мозг мужчине, нормальная ли она?)))"
271,с какой девушка мужчина легко,с воображаемой,С какой девушкой мужчине легко?)))
272,интересный вещь мужчина говорить что любить естественный красота в девушка а сам табун бегать вокруг модный,"извините, я табунами не бегаю","Интересная вещь... Мужчины говорят, что любят естественную красоту в девушках, а сами табунами бегают вокруг модных"
273,парень сказать что мы не по путь,"скажт ему ""давай просто секс?"" чтоб посмотреть на его реакциюесли скажет ""давай"", значит просто не хочет брать на себя ответственность","Парень сказал, что нам не по пути"
274,у я такой вопрос встречаться с парень американец произойти такой ситуация,"Будь проще и к тебе потянутся люди.... Так красное это красное, а черное это черное.","У меня такой вопрос: встречалась с парнем, американцем, произошла такая ситуация,"
275,почему девушка не искать парень при это он у они всегда есть,"Учитывай, что у каждой девушки и женщины в списке 1000 поклонников, то она уже с потребительским складом ума, так как ей важно выбирать самого обеспеченного из этого числа. Отсюда у нее растет самооценка и вера в свою востребованность, что развалит семью от скуки. А это деффектность к серьезным отношениям, а уж тем более к семье !..Поэтому каждая относится к мужчине как к рабу и должному ...а у каждой ведь инстинкты быть с лидером и быть защищенной, отсюда каждая пара разваливается, происходит биологическая несостыковка...СИСТЕМНЫЙ СБОЙ В МАТРИЦЕ.",Почему девушки не ищут парня при этом он у них всегда есть?
276,мама ама рич бич или нет,"гоу ту слип, бейб","Мама, ама рич бич или нет?"
277,мужчина у твой девушка должный быть модный нарисовать бровь нарощённый ресничка как у куколка красивый маникюр,"а нахрена это мне, у моей должно быть все свое натуральное и самое самое","Мужчина, у твоей девушки должны быть модные нарисованные брови, нарощенные реснички, как у куколки, красивый маникюр,"
278,о чем мы хороший не говорить,о религии,О чем нам лучше не говорить?
279,мужчина если твой девушка захотеть шампанское среди ночь что делать быть,Рот... открывай...,"Мужчина, если твоя девушка захочет шампанского среди ночи... Что делать будешь?)))"
280,мать одиночка или отец одиночка это стрёмный этот человек никто не нужный а они нет ещё и,"так надо, не мешай плодить нищету.",Мать-одиночка или отец-одиночка - это стрёмно? Эти люди никому не нужны? А им нет ещё и 30.
281,свадьба что делать,Тебе в прошлых вопросах 17 лет и зовут тебя Маша..,"Свадьба, что делать?"
282,что делать если появиться отвращение к парень из за лишний вес,понять и простить)),"что делать, если появилось отвращение к парню из-за лишнего веса"
283,как донести до брат что я не хотеть с они общаться и родниться совсем,"Не отвечать на звонки и сообщения. Дверь ему не открывать. Если не догадается, его проблемы.","Как донести до брата, что я не хочу с ним общаться и родниться? Совсем"
284,зачем женщина вспоминать прошлое если она о немой якобы забыть,Взгрустнулось может?,"Зачем женщина вспоминает прошлое, если она о нем, якобы ""забыла"" ?"
285,вопрос к парень мужчина на какой по счёт встреча вы понимать что девушка вы не нравиться,я плачу за секс) и выбираю себе проститутку) у меня нет почти времени. по этому поиск подружки- это почти не реально (и проституткам плачу за красоту)тоесть сразу видно. нужна она или нет,"Вопрос к парням/мужчинам. На какой по счету встрече вы понимаете, что девушка вам не нравится?"
286,как найти женщина свой мечта если ты маминькин сынок,мамку попроси,Как найти женщину своей мечты если ты маминькин сынок?
287,в один и тот же парень влюбиться я и мой подруга одногруппница что делать теперь,Тройничёк,В одного и того же парня влюбились я и моя подруга одногруппница? Что делать теперь?
288,на улица холодно и купить сегодня девушка шуба,"если ей на улице холодно - надо квартиру покупать, а не шубу, вот ты лохобАн))",На улице холодно и купил сегодня девушке шубу.
289,вы берет ответственность за то что происходить с вы на себя или перекладывать она на другой,это классическая фигняхотелось-бы посмотреть на тех. кто на себя,Вы берете ответственность за то что происходит с вами на себя или перекладываете ее на других?
290,возможно ли выйти из френд зона и начать встречаться и что для это нужно делать,"нет. если раз занесла, то при другом варианте опять кинет. самому надо сваливать и блокировать контакт.",Возможно ли выйти из френд зоны и начать встречаться? И что для этого нужно делать?
291,как вы идея предлагать в цель повышение качество генофонд отстрелять мужчина нищеброд нытик,Давно пора!!!!)))),Как вам идея? Предлагаю! В целях повышения качества генофонда отстрелять мужчин нищебродов нытиков... +
292,отношение это всегда так сложно,"познакомилась с парнем, просто общались,... прикольно и это за мужем и беременная",Отношения - это всегда так сложно?) +++
293,как интересный заниматься секс ом с девственница сначала входить как чтобы она больно не быть,"Блин!!!! Первый, раз столь? Подушку пусть под себя положит! Менее болезнено","Как интереснее заниматься секс ом с девственница Сначала входить как чтобы ей больно, не было?"
294,помочь пожалуйста я морально умирать,"В том то и дело что так думая ты делаешь хуже только себе, рано или поздно твоя девушка тебя бросит по тому как ты заебешь ей мозг. Да изменяют пусть не все, но многие и от этого не куда ни деться как бы ты не старался, и что бы ты не делал. относись к этому проще! Вот поймаешь с поличным вот тогда и будешь возмущаться, а так живи и радуйся жизни пока вы вместе!",Помогите пожалуйста... Я морально умираю
295,женщина всегда врать зачем,..берём пример с вас...)),Женщины всегда врут. Зачем?
296,как я поступить нуждаться в совет помочь пожалуйста,не думаю что мальчикам должны нравится мальчики,"Как мне поступить? Нуждаюсь в совете. Помогите, пожалуйста."
297,девушка достаточно быть красивый какой тогда должный быть парень что бы быть нарасхват,"Умным и обаятельным. И такие на сайтах ко всем подряд не клеются, кстати.","Девушке достаточно быть красивой, каким тогда должен быть парень что бы быть нарасхват?"
298,почему мужик воротить нос от добрый душевный девушка а сам бегать за стерва и наглый баба,"Подобные вопросы должны иллюстрироваться фото. В противом случае, разговор ни о чем.","Почему мужики воротят нос от добрых душевных девушек, а сами бегают за стервами и наглыми бабами?"
299,сколько терпеть страдать нужно ради любовь,"Нисколько. Ей нужно наслаждаться, если приходиться терпеть и страдать то любви нет, она не взаимна.",Сколько терпеть страдать нужно ради любви?
300,почему мужчина после секс исчезать,он воображаемый),Почему мужчина после секса исчезает?
301,девушка быть ли вы носить одежда платье майка юбка и так п который подарить вы ваш парень,"Будет, если подойдёт","Девушки, будете ли вы носить одежду (платья, майки, юбки и. т. п), которую подарит вам ваш парень?"
302,почему в россия до сей пора не ввести многомужество,"Приходи сделать мне минет, Лера. Ну, и твою проблемму обсудим.",Почему в России до сих пор не ввели многомужество?
303,это правда что если в молодость перебеситься то потом ты не тянуть на приключение,"бывает. и вообще не тянет. правильность мешает. а если не контролировать себя, то приключения находятся","Это правда, что если в молодости ""перебеситься"", то потом тебя не тянет на ""приключения""?"
304,что общий между женчин и кошка,и те и те бляди,Что общего между женчинами и кошками?
305,жестокость это желание сделать больно просто так,"Нет, это когда вы не просто остановили нападавшего, а оторвали ему голову. ну... так, пример.",Жестокость - это желание сделать больно просто так?
306,что я делать чтоб простить,"Умереть. Зуб даю, простит, на покойников зла не держат",Что мне делать чтоб простила
307,мастер желать а сам что не знать,) Мастер пол сменил ? однако )),"Мастер желает, а сама чего не знает?"
308,кто то думать что мы игрушка,"Да, инопланетяне","Кто-то думает, что мы - игрушки?"
309,ребята воптать лазить по интернет хотеть с девушка ужастик посмотреть найти фильм я плевать на ваш могила,восемь вечера а вы ишо не спите,Ребят вопщем лазил по интернету хотели с девушкой ужастик посмотреть нашел фильм я плюю на ваши могилы
310,девушка александра немного мужланка,"да, есть такое.. имя обязывает",Девушки Александры немного мужланки?
311,вы ревновать если ваш партнёр пользоваться успех у противоположный пол,Лишь бы тот противоположный пол не пользовался успехом у моего партнера....А так то пусть тот пол сдохнет от зависти....)))),Вы ревнуете если ваш партнер пользуется успехом у противоположного пола?
312,где в это время потребительский найти хороший достойный верный и добрый девушка скромный как я,"Среди ткачих и поварих) или других простых профессий, рабочий стаж им из головы всю дурь выветрил)",Где в это время потребительское найти хорошую достойную верную и добрую девушку скромную как я?
313,сколько нужно зарабатывать молодой парень приблизительно,"Ну если не столичный, то не меньше 20 000",Сколько нужно зарабатывать молодому парню? Приблизительно
314,никакой душа у баба с рождение нет,Мы роботы и делают нас на заводе...,никакой души у баб 《с рождения》 нет. ?
315,отношение стоить строить с такой девушка либо нет,"классика, задроченный работой ботан, встречает шлюху и женится на нейиздец ты автор идиот","Отношения, стоит строить с такой девушкой либо нет."
316,парень который учиться или учиться в школа рассказать вот вы какой девушка нравиться нравиться,"Армяне очень умные, и порядочные люди. Так себя может вести не Армянин, а хач. Давай в ВК пообщаемся. ( Я девочка)","Парни, которые учатся или учились в школе, расскажите, вот вам какие девушки нравятся/нравились?"
317,как женщина мочь жить один кто она починить табуретка или переставить холодильник,"Если она сама и не хочет нуждаться в помощи мужчины, то ей нужно стать не быть финансого бедно. Есть деньги может нанять грузчика переставит холодильник, табуретку сдать в ремонт или на дом заказать...",Как женщина может жить одна? Кто ей починит табуретку или переставит холодильник?
318,зачем мужчина жениться,"зачем? потому что надо ...возраст поджимаетно никто почему то не рассказывает, что жена это особое состояние женщинв котором тебе не достанется много чего из отношений, зато с тебя будут драть на всю катушку",ЗАЧЕМ МУЖЧИНЫ ЖЕНЯТСЯ?
319,женщина рядом пока она жопа в тепло а потом сливаться при малый проблема мужчина,и такое бывает и не редко ...,"женщина рядом пока ее жопа в тепле, а потом сливаются при малейших проблемах мужчины?"
320,сказать влюблённость это серьёзно,"Нет, это временно","Скажите, влюблённость-это серьёзно?)))"
321,почему девушка на улица сам не знакомиться первый при чем в соло а не когда в компания вы или они,"Если девушка подойдёт к вам знакомиться, вы первый убежите. Проблема не в девушках, а вашем страхе сближения.",Почему девушки на улице сами не знакомятся первыми при чем в соло а не когда в компаниях вы или они ?
322,что делать парень нищеброд если у он в год не быть девушка,"Ну и не надо ему девушки, это ерунда все.",Что делать парню нищеброду если у него в 30 лет не было девушки?
323,ситуация такой парень звать на встреча просить взять подруга любой,"в чём, по-твоему, должно проявляться его уважение к тебе?в том, чтобы месяц повстречаться с тобой, прежде чем затащить тебя в постель?","ситуация такая ( парень зовет на встречу, просит взять подругу- любую"
324,сегодня смочь уговорить жена,Смогла расслабься видимо,Сегодня смог уговорить жену.
325,хотеть сделать предложение девушка как бы узнать размер кольцо точно,посмотреть размер на любом другом её кольце,"Хочу сделать предложение девушке, как бы узнать размер кольца, точно?"
326,зачем человек жениться если всё равно изменять друг друг быть,"Не все изменяют хотя в России да так, в Украине этого почти нету",Зачем люди женятся... если все равно изменять друг другу будут?
327,что можно спросить у парень,"Спроси: почему он такой мyдaк? Затем смотри как он справится с такой смысловой нагрузкой, задав такой вопрос можно узнать о человеке все по его реакции...",Что можно спросить у парня?
328,как можно переписываться в контакт если человек ты заблокировать,никак,Как можно переписываться в Контакте если человек тебя заблокировал ?
329,почему парень так себя вести,варианты-не вырос.. болен..,Почему парень так себя ведет?
330,если у мужчина к я только похоть он воспринять мой отказ от общение болезненно,Это зависит от человека. Может он всем предлагает и у него 10 отказов на дню,"Если у мужчины ко мне только похоть, он воспримет мой отказ от общения болезненно?"
331,когда человек иметь много связь отношение это говорить о немой как о компанейский коммуникабельный или,"У него нет своей четкой видимости чего ему надо. Это секс; абы как, лишь бы как, не помню как, вообщем каков много. Конечно здесь не без эгоизма ; не найду себе достойную, идеальную, соответствующую всем своим 50ти требованиям любимую. Человек - путешественник в поисках можно провести всю жизнь. Ваш вопрос в категории знакомства - любовь, нет уточнения может имели ввиду торгово - экономические отношения....","Когда человек имеет много связей, отношений это говорит о нем как о компанейском, коммуникабельном или ..."
332,сказать пожалуйста что значит такой поведение мужчина,скорее всего смотрит на твою реакцию хочет с тобой отрошений или просто секса,"Скажите пожалуйста, что значит такое поведение мужчины?"
333,уйти в время что для вы это значит,может вовремя?,Уйти во время. Что для вас это значит?
334,почему если коллега помогать то она наглеть а когда грубо общаться с она то наоборот становиться вежливый,"Сама понять не могу, но такое действительно имеет место быть",Почему если коллеге помогаешь то она наглеет а когда грубо общаешься с ней то наоборот Становится вежливой?
335,вы лёгкий строить любой отношение с кто старший себя или младший противоположный пол или без разница,"Семья у меня уже построена и жена моя на 18 лет моложе меня. Ну, а пока был без Кысиньки... всяко бывало. Но ""отношениями"" это назвать было нельзя. Так... вечерок скоротать.",Вам легче строить любые отношения с кем? старше себя или младше? противоположного пола или без разницы?
336,скажитефеминистка это больной женщина,"Нет это обычные женщины, которые борются за свои права и не хотят зависеть от мужчин. Например в некоторых странах девочек в детском возрасте выдают замуж, не дают им возможности учиться и свободно передвигаться. Против такого феменистки и направляют свои усилия.",скажитефеминистки... это больные женщины??
337,чем погасить остаток страсть,"Остатки страсти, ошмётки любви, обрезки вожделения)) какая гадость)",Чем погасить остатки страсти?)
338,неожиданный поворот событие в отношение,"В нынешнем мире принято, что девушек с такой ориентацией принимают нормально.Лично в такой ситуации не довелось быть.",Неожиданный поворот событий в отношениях.
339,мочь ли я обидеть мужчина когда сказать чтобы валить к любовница они расстаться уже,разве что - обрадовать ツ,"Могла ли я обидеть мужчину, когда сказала, чтобы валил к любовнице? Они расстались уже"
340,это смешно каждый день танцевать дом,Я так тожем делаю,Это смешно каждый день танцевать дома?
341,что такой злой ирония,Она не может быть злой или доброй),Что такое злая ирония?
342,почему человек не разводиться а вечно конфликтовать и тянутый свой сторона как дурак,дураки и есть,"почему люди не разводятся, а вечно конфликтуют и тянут свою сторону как дураки?"
343,если в я никогда не влюбляться девушка значит я урод,"Попробуй подкати, за одно и узнаем, ну и фото кидай тогда уж, может и правда внешне не красавец (без обид, сама не оч))","Если в меня никогда не влюблялись девушки, значит я урод ?"
344,где вы большой весь нравиться проводить время с свой женщина,"За столом, во время вкусного обеда, приготовленного совместными усилиями.",Где вам больше всего нравится проводить время со своей женщиной?
345,почему тот кто до не обзавестись семья как правило она и не обзавестись лишь у по статистика есть ещё шанс,"Потому что уже думаешь, нафиг мне эта тягомотина)","Почему те, кто до 30 не обзавелся семьей, как правило, ей и не обзаведутся? Лишь у 25% по статистике есть ещё шанс."
346,что вы удержать от измена развод раздел ну и др угроза,"Угрозы мне не указ, не судья, как и всё в этом мире. Я не хочу и не изменю. Здесь будет стоять на первом месте желание. Хочу изменю, нет? И нет! Я решаю.","Что Вас удержит от измены? Развод, раздел, ну и др угрозы)"
347,помочь кто выбрать,Бывшая кинет опять,Помогите! Кого выбрать?
348,у девушка пахнуть из рот и поп не подмывать как дыхнуть так хан как бороться,На такие случаи делают презервативы с ароматизаторами),"У девушки пахнет изо рта и попу не подмывает, как дыхнет так хана, как бороться?"
349,почему вы изменять изменять жена муж,Потому что в человеческой природе лгать и лицемерить,Почему Вы изменяете/изменяли жене/мужу?
350,что быть если девушка подарить коробка айфон х с надкусать яблоко внутри,Ты со своей этой помирился?,"Что будет, если девушке подарить коробку Айфон Х с надкусанным яблоком внутри?"
351,смочь остаться я надо кой что сделать только наидина что ожидать от девушка,"Хочет, чтобы помог с задачей по физике...) А наедине - чтобы другие не знали, какая она тупая...)",Сможешь остаться. Мне надо кое что сделать только наидине. Чего ожидать от девушки?
352,встречаться с молодой человек месяц предлагать поехать в австралия и полностью всё оплатить,"неделю назад тебе было 31..молодеешь на глазах..Я часто меняю работу, но всегда обеспечивала себя сама. Сейчас мне 31 годsuper jet Ученик (1), Вопрос на голоcовании 1 неделю назад","Встречаюсь с молодым человеком 7 месяцев, предлагает поехать в Австралию и полностью все оплатить"
353,почему если девушка страша начинать ревновать,"Так как они более привязаны к 1 партнеру, ведь у каждой инстинкт родить до 30 лет, пока биорепрродуктивная система свежая . Если она выглядит не очень, то боится конкуренток .",Почему если девушка страше начинает ревновать?
354,а мочь ли мужчина одновременно нравиться несколько женщина,далихко)),А может ли мужчине одновременно нравиться несколько женщин?
355,как я быть,"Извини, но эти отношения обречены.",Как мне быть.
356,мужчина а ты что верить в интернет,зое верю в интернете я ))))))))),Мужчина а ТЫ чему веришь в интернете?)
357,насколько действенный всё этот совет по завоевание девушка женщина для некрасивый парень мужчина,да ну? )))))))),Насколько действенны все эти советы по завоеванию девушки/женщины для некрасивых парней / мужчин ?
358,всё это конец я полный идиотка,Ну значит бон велит)),Всё. Это конец. Я полная идиотка
359,парень просить прислать фотка после отказ отдалиться сейчас просить у он фотка он игнорита,Вы странные,"Парень просил прислать фотки, после отказа отдалился Сейчас прошу у него фотку, он игнорит"
360,в год потерять девственность не по любовь а по глупость и любопытство очень плохо,"ну конечно плохо. самое лучшее и приятное в мире, когда ЭТО делается по любви, особенно в первый раз. всю жизнь потом жалеть будешь... просто ценности у людей сломались, которые пишут, что это мелочи","в 17 лет потерять девственность не по любви, а по глупости и любопытству-очень плохо?"
361,что вы мочь заставить уйти с работа,если работа в обще ненравится,Что вас может заставить уйти с работы?
362,на какой девушка я мочь рассчитывать,СИНДИ КРОУФОРДНЕТ САНТАНИКУМ ДЭНДИМОНИКУМ,На какую девушку я могу рассчитывать?
363,а вы легко изменить свой привычка ради кто то,"тяжело, поэтому не меняю, могу иногда прогнуться, но не регулярно",А Вам легко изменить свои привычки ради кого то?...
364,почему жечин не нравиться черта характер скромность у мучин,"Потому что скромного мужчину сложнее раскрутить на бабло, не?",Почему жечинам не нравится черта характера скромность у мучин?
365,как жена подложить под другой,фига ты..,Как жену подложить под другого?
366,как вы пережить расставание девушка по она инициатива как вы справиться с аналогичный ситуация,"Отношения на расстоянии без шансов, тебя просто поменяют на парня, который ближе к ней находится, вот и всё. Скорее всего тебя поменяли, а нужна ли тебе такая девушка - большой вопрос. В ""никуда"" они не уходят. Лучше найти ту, которой ты действительно нужен, и как сказал мой хороший друг - Если бы она была твоя, то сейчас была бы с тобой.upd: И даже если она вернётся - не принимай, ты для неё самым лучшим уже не будешь, если она от тебя уже ушла по собственной (!) инициативе.",Как вы пережили расставание девушке по ее инициативе? Как вы справились с аналогичной ситуацией?
367,если девочка стать уделять я большой внимание я она нравиться,Да. Ты ей нравишься. Всего вам самого наилучшего. Подари ей шоколадку и цветы.),Если девочка стала уделять мне больше внимания я ей нравлюсь?
368,почему некоторый человек казаться что они не слушать,а оно вам надо..,"Почему некоторым людям кажется, что их не слушают?"
369,что значит девушка неликвид из что браться это мнение у народ из визуальный наблюдение,от недалёкого ума,что значит девушка неликвид? из чего берется это мнение у народа? из визуального наблюдения?
370,как понять ты слабый женщина нуждаться в крепкий мужской плечо или просто лентяйка,По ощущению что вам надо моральная поддержка или спонсор,"Как понять -ты слабая женщина, нуждающаяся в крепком мужском плече или просто лентяйка?"
371,почему женщина гораздо большой чем мужчина в россия но при это они выбирать мужчина с кто быть,"А потому что мы заправляем всем, ещё не понял что ли )))",почему женщин гораздо больше чем мужчин в России? но при этом они выбирают мужчин с кем быть
372,как поцеловать чтобы он понравиться чисто интересно взазос ни раз не пробовать,"он тебе расскажет и покажет, расскажи эму о своих развратных желаниях.","Как поцеловать, чтобы ему понравилось? Чисто интересно. Взазос ни разу не пробовала"
373,мужчина в какой случай ты бы жениться на легкомысленный хохотушка,женятся обычно по любви... на разных всяких..,"Мужчина, в каком случае ты бы женился на легкомысленной хохотушке?)))"
374,почему парень обнимать другой а смотреть я в глаз,"Вызывает чувство ревности, либо обнимаеи другую, а нравитесь вы.","Почему парень обнимает другую, а смотрит мне в глаза?"
375,если бы девушка давать только после свадьба мамаша одиночка быть бы маленький,Да,"Если бы девушки давали только после свадьбы, мамаш-одиночек было бы меньше?"
376,найти девушка неуверенный и нерешительный,"Правильно конечно мужчине вначале. Потом это без разницы. Нужно найти общие интересы, потом может обнаружиться в ходе общения, что для вас ценно что то общее, какие то книги фильмы, песни для вас дороги. Вот как то так...",Найти девушку неуверенному и нерешительному
377,девушка вы бы такой носить,вряд ли,девушки вы бы такое носили ?
